;signal_strength;attention;meditation;delta;theta;low_alpha;high_alpha;low_beta;high_beta;low_gamma;high_gamma;time
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;53.0;57.0;176053.0;2541.0;3930.0;5104.0;1916.0;2964.0;3668.0;9271.0;1.0
2;0.0;63.0;53.0;860035.0;60998.0;7921.0;16659.0;7975.0;15694.0;13149.0;19411.0;2.0
3;0.0;51.0;54.0;360607.0;246652.0;45201.0;19503.0;6044.0;7514.0;24296.0;52904.0;3.0
4;0.0;54.0;61.0;393410.0;27681.0;6341.0;15671.0;10505.0;4163.0;2180.0;33437.0;4.0
5;0.0;44.0;44.0;168730.0;27500.0;4968.0;2335.0;3761.0;2510.0;2319.0;31987.0;5.0
6;0.0;44.0;57.0;40330.0;19613.0;26614.0;42137.0;21245.0;15948.0;11225.0;76914.0;6.0
7;0.0;69.0;60.0;4783.0;18891.0;5110.0;10486.0;20140.0;17745.0;16317.0;85001.0;7.0
8;0.0;70.0;70.0;9287.0;7401.0;16769.0;6230.0;3127.0;3452.0;7109.0;95684.0;8.0
9;0.0;75.0;77.0;286685.0;18053.0;711.0;9519.0;1432.0;3316.0;2793.0;22112.0;9.0
10;0.0;74.0;64.0;44706.0;11172.0;3533.0;1931.0;2766.0;2785.0;2750.0;10168.0;10.0
11;0.0;56.0;67.0;418762.0;421498.0;222148.0;35956.0;77538.0;45914.0;10934.0;40578.0;11.0
12;51.0;56.0;67.0;1911770.0;88913.0;56503.0;68746.0;67601.0;65250.0;40223.0;29146.0;12.0
13;25.0;56.0;67.0;595762.0;33487.0;50862.0;67046.0;114319.0;79054.0;6486.0;5633.0;13.0
14;0.0;48.0;53.0;709518.0;80514.0;17492.0;19282.0;34548.0;4390.0;4129.0;2153.0;14.0
15;0.0;48.0;57.0;489807.0;34848.0;34996.0;13956.0;13680.0;8793.0;23541.0;24942.0;15.0
16;0.0;53.0;56.0;92113.0;26039.0;6642.0;1665.0;3414.0;10245.0;6735.0;2403.0;16.0
17;0.0;67.0;51.0;299661.0;5890.0;695.0;2432.0;3439.0;3597.0;3632.0;1654.0;17.0
18;0.0;74.0;48.0;303197.0;36498.0;7284.0;3902.0;7596.0;3502.0;1635.0;7000.0;18.0
19;0.0;70.0;50.0;100975.0;11414.0;3444.0;11940.0;1173.0;1969.0;1636.0;15369.0;19.0
20;0.0;57.0;43.0;2190122.0;526965.0;16425.0;42908.0;45589.0;32007.0;30519.0;43590.0;20.0
21;0.0;47.0;43.0;511604.0;169624.0;38600.0;32333.0;79067.0;28543.0;15084.0;36279.0;21.0
22;0.0;47.0;43.0;162389.0;72360.0;3241.0;30026.0;53751.0;7418.0;3416.0;36051.0;22.0
23;0.0;34.0;27.0;583062.0;232566.0;26539.0;29603.0;38302.0;3745.0;8347.0;30723.0;23.0
24;0.0;29.0;27.0;272454.0;66790.0;3778.0;3703.0;4887.0;2759.0;2161.0;6415.0;24.0
25;0.0;24.0;30.0;516038.0;45419.0;8186.0;12915.0;9719.0;4100.0;2896.0;2262.0;25.0
26;0.0;11.0;20.0;288598.0;549246.0;13805.0;35140.0;36576.0;9940.0;11666.0;44065.0;26.0
27;0.0;26.0;26.0;59565.0;33988.0;4814.0;11469.0;8727.0;4221.0;1946.0;13894.0;27.0
28;0.0;23.0;27.0;833800.0;587933.0;42919.0;44829.0;19695.0;14457.0;19228.0;33894.0;28.0
29;0.0;35.0;26.0;69104.0;10404.0;3070.0;1275.0;2327.0;3998.0;1067.0;12133.0;29.0
30;0.0;48.0;40.0;436405.0;80425.0;30030.0;6224.0;6483.0;9587.0;10432.0;20577.0;30.0
31;0.0;43.0;43.0;153973.0;22232.0;12966.0;3323.0;9197.0;1748.0;1254.0;26984.0;31.0
32;0.0;51.0;44.0;683627.0;58971.0;6880.0;5119.0;6799.0;4443.0;1539.0;6864.0;32.0
33;0.0;50.0;51.0;1641055.0;38985.0;10928.0;68844.0;88427.0;28294.0;11147.0;178208.0;33.0
34;0.0;57.0;48.0;43945.0;55690.0;19081.0;6544.0;19970.0;17406.0;8829.0;218179.0;34.0
35;0.0;63.0;56.0;636323.0;9005.0;4426.0;10737.0;1908.0;1894.0;992.0;27574.0;35.0
36;0.0;69.0;77.0;66896.0;7626.0;9527.0;13820.0;2282.0;4644.0;504.0;21606.0;36.0
37;0.0;51.0;70.0;745659.0;180504.0;22975.0;31854.0;26080.0;5961.0;1891.0;200977.0;37.0
38;25.0;51.0;70.0;379175.0;116945.0;59505.0;63720.0;23189.0;13870.0;4477.0;3838.0;38.0
39;51.0;51.0;70.0;771615.0;204681.0;36669.0;70466.0;73949.0;68273.0;25486.0;9583.0;39.0
40;0.0;41.0;70.0;421148.0;103834.0;21197.0;11709.0;5108.0;8674.0;5899.0;157748.0;40.0
41;0.0;40.0;57.0;205502.0;52394.0;6723.0;17613.0;30912.0;5246.0;5825.0;237170.0;41.0
42;0.0;37.0;38.0;92883.0;46504.0;466.0;7349.0;5216.0;5315.0;5092.0;164751.0;42.0
43;0.0;54.0;48.0;8661.0;7112.0;9697.0;3619.0;2635.0;5074.0;5128.0;169494.0;43.0
44;0.0;70.0;53.0;3831.0;9495.0;8606.0;2294.0;5843.0;8887.0;3802.0;180691.0;44.0
45;0.0;75.0;63.0;13417.0;28174.0;25905.0;8116.0;7411.0;6345.0;2809.0;122920.0;45.0
46;0.0;81.0;77.0;10383.0;6362.0;5274.0;8447.0;7721.0;4386.0;7287.0;152712.0;46.0
47;0.0;81.0;69.0;10610.0;24714.0;10079.0;8047.0;6421.0;11226.0;5412.0;133707.0;47.0
48;0.0;75.0;63.0;6782.0;16206.0;4382.0;2611.0;5874.0;4676.0;2755.0;180718.0;48.0
49;0.0;66.0;61.0;19677.0;43949.0;12522.0;20772.0;5781.0;2791.0;5272.0;155791.0;49.0
50;0.0;70.0;60.0;36548.0;15461.0;16435.0;5848.0;5644.0;17705.0;6568.0;188448.0;50.0
51;0.0;77.0;63.0;8997.0;12660.0;8893.0;6955.0;4463.0;11433.0;5528.0;150811.0;51.0
52;0.0;66.0;81.0;1200.0;16794.0;12850.0;33218.0;4495.0;3856.0;8567.0;165663.0;52.0
53;0.0;74.0;77.0;235158.0;11788.0;2492.0;3664.0;1561.0;1373.0;1225.0;32700.0;53.0
54;0.0;60.0;74.0;9624.0;34444.0;12055.0;6104.0;2039.0;4992.0;3721.0;146265.0;54.0
55;0.0;57.0;77.0;10529.0;9989.0;14702.0;3995.0;3912.0;9498.0;3561.0;155000.0;55.0
56;0.0;69.0;74.0;13674.0;8495.0;22391.0;1909.0;2397.0;8501.0;3665.0;125165.0;56.0
57;0.0;70.0;77.0;5275.0;15866.0;7384.0;6214.0;4965.0;3024.0;4881.0;147618.0;57.0
58;0.0;69.0;87.0;4964.0;10050.0;17728.0;10113.0;8433.0;3467.0;7501.0;162312.0;58.0
59;0.0;64.0;75.0;5668.0;39182.0;4624.0;8501.0;2712.0;7377.0;5362.0;157687.0;59.0
60;0.0;69.0;50.0;2583.0;24432.0;1400.0;1918.0;5101.0;14601.0;7305.0;149244.0;60.0
61;0.0;69.0;50.0;60608.0;15138.0;8956.0;2291.0;1502.0;2349.0;2200.0;31496.0;61.0
62;0.0;63.0;34.0;233630.0;46980.0;1283.0;10685.0;4743.0;2179.0;734.0;38199.0;62.0
63;0.0;67.0;41.0;2605.0;10810.0;5302.0;9156.0;8648.0;6539.0;4918.0;161525.0;63.0
64;0.0;67.0;54.0;20112.0;6958.0;3184.0;7128.0;12350.0;10474.0;3634.0;122279.0;64.0
65;0.0;70.0;54.0;5173.0;13689.0;1795.0;10735.0;9156.0;3340.0;2413.0;125858.0;65.0
66;0.0;81.0;51.0;61772.0;32356.0;3907.0;2397.0;7268.0;5094.0;4010.0;152253.0;66.0
67;0.0;75.0;41.0;59708.0;78190.0;4195.0;15267.0;4235.0;10634.0;6010.0;141416.0;67.0
68;0.0;48.0;50.0;704937.0;129588.0;99350.0;19107.0;19137.0;5572.0;8080.0;122772.0;68.0
69;0.0;34.0;43.0;767309.0;297478.0;36596.0;45537.0;8410.0;8756.0;4417.0;90743.0;69.0
70;0.0;41.0;53.0;4367.0;6436.0;11591.0;3069.0;20988.0;6619.0;3557.0;131659.0;70.0
71;0.0;43.0;60.0;12071.0;16882.0;8633.0;3595.0;7282.0;4262.0;3651.0;135000.0;71.0
72;0.0;67.0;61.0;13936.0;7251.0;4760.0;13881.0;2937.0;11707.0;7013.0;111178.0;72.0
73;0.0;81.0;60.0;1730.0;27189.0;1566.0;9147.0;13181.0;5553.0;4105.0;135963.0;73.0
74;0.0;80.0;67.0;7716.0;6570.0;14475.0;6567.0;4753.0;6133.0;8748.0;172057.0;74.0
75;0.0;93.0;67.0;5670.0;6777.0;10897.0;1572.0;8057.0;15084.0;8195.0;90371.0;75.0
76;0.0;88.0;69.0;5289.0;7167.0;19455.0;4070.0;8383.0;7682.0;4348.0;136829.0;76.0
77;0.0;90.0;78.0;2943.0;14876.0;8475.0;6015.0;3030.0;5166.0;3285.0;138033.0;77.0
78;0.0;91.0;77.0;4466.0;9615.0;25004.0;1759.0;10680.0;7997.0;3553.0;151423.0;78.0
79;0.0;84.0;83.0;5786.0;7957.0;12061.0;6457.0;7310.0;8162.0;3516.0;146534.0;79.0
80;0.0;84.0;75.0;4096.0;11736.0;4353.0;5204.0;5027.0;6079.0;4755.0;162506.0;80.0
81;0.0;84.0;75.0;516715.0;16332.0;9614.0;9219.0;8690.0;6957.0;8759.0;131955.0;81.0
82;0.0;81.0;69.0;13762.0;30802.0;16655.0;11059.0;6075.0;8427.0;5642.0;138642.0;82.0
83;0.0;83.0;67.0;4512.0;8062.0;7156.0;8679.0;4860.0;9165.0;8729.0;167293.0;83.0
84;0.0;77.0;83.0;5180.0;3482.0;3915.0;23536.0;5099.0;4142.0;4425.0;123684.0;84.0
85;0.0;84.0;78.0;2518.0;11201.0;2520.0;4489.0;4471.0;8588.0;5278.0;163556.0;85.0
86;0.0;81.0;81.0;77391.0;7865.0;4965.0;4213.0;1183.0;1577.0;1201.0;40687.0;86.0
87;0.0;81.0;70.0;14790.0;7814.0;2066.0;3061.0;7644.0;5603.0;9415.0;140094.0;87.0
88;0.0;83.0;63.0;3613.0;19321.0;16802.0;13769.0;3993.0;9316.0;6125.0;164888.0;88.0
89;0.0;74.0;69.0;25058.0;4009.0;2692.0;1896.0;2324.0;1123.0;887.0;34333.0;89.0
90;0.0;80.0;56.0;4502.0;19196.0;4490.0;2418.0;7642.0;6076.0;5207.0;132396.0;90.0
91;0.0;75.0;67.0;2845.0;19730.0;26794.0;4121.0;1276.0;10093.0;4300.0;148172.0;91.0
92;0.0;83.0;54.0;1592.0;4380.0;1588.0;1303.0;5725.0;4596.0;4675.0;135660.0;92.0
93;0.0;94.0;60.0;16971.0;3906.0;13762.0;6253.0;1135.0;11484.0;2650.0;152838.0;93.0
94;0.0;96.0;70.0;3310.0;10791.0;5649.0;11358.0;6931.0;7264.0;3444.0;125318.0;94.0
95;0.0;94.0;69.0;5363.0;11365.0;13386.0;7108.0;5937.0;5999.0;3890.0;115609.0;95.0
96;0.0;93.0;84.0;2621.0;7102.0;8899.0;7589.0;1774.0;9504.0;3977.0;137713.0;96.0
97;0.0;84.0;74.0;5863.0;28910.0;4762.0;5487.0;7281.0;6950.0;1961.0;147353.0;97.0
98;0.0;77.0;64.0;1900064.0;83050.0;19575.0;13643.0;20538.0;12305.0;4421.0;108723.0;98.0
99;0.0;77.0;51.0;63468.0;126458.0;10249.0;21656.0;11768.0;29875.0;14150.0;51168.0;99.0
100;26.0;77.0;51.0;727606.0;13346.0;10823.0;6065.0;3961.0;940.0;1571.0;2539.0;100.0
101;0.0;57.0;56.0;329254.0;36775.0;72326.0;29000.0;6713.0;5757.0;7247.0;7620.0;101.0
102;0.0;47.0;60.0;697174.0;331131.0;113156.0;34243.0;22843.0;18584.0;16529.0;35463.0;102.0
103;0.0;43.0;61.0;158068.0;14342.0;5087.0;1433.0;2095.0;1412.0;1628.0;13174.0;103.0
104;0.0;43.0;77.0;740174.0;4928.0;9110.0;8962.0;7624.0;4773.0;2651.0;42797.0;104.0
105;0.0;50.0;48.0;1711444.0;186276.0;1787.0;14887.0;29638.0;17616.0;22464.0;94652.0;105.0
106;0.0;54.0;38.0;28333.0;35171.0;2218.0;3717.0;2827.0;3251.0;1428.0;38236.0;106.0
107;0.0;60.0;34.0;275281.0;23664.0;1484.0;4383.0;3773.0;3821.0;1129.0;29843.0;107.0
108;0.0;50.0;23.0;56802.0;16487.0;4951.0;2713.0;5731.0;1634.0;1276.0;28056.0;108.0
109;0.0;60.0;30.0;23620.0;31483.0;3730.0;6201.0;9614.0;11512.0;3709.0;144681.0;109.0
110;0.0;64.0;41.0;19815.0;25382.0;8869.0;6786.0;2584.0;6598.0;5506.0;143799.0;110.0
111;0.0;56.0;44.0;196332.0;117810.0;25494.0;8247.0;10207.0;6261.0;6385.0;130870.0;111.0
112;0.0;61.0;51.0;4148.0;17425.0;9358.0;11617.0;6585.0;5961.0;5343.0;171476.0;112.0
113;0.0;44.0;53.0;1141191.0;388433.0;60988.0;34965.0;15810.0;15460.0;9795.0;139657.0;113.0
114;0.0;48.0;47.0;87390.0;126013.0;1749.0;35161.0;20479.0;30074.0;52260.0;282007.0;114.0
115;0.0;56.0;54.0;17899.0;25058.0;8272.0;13195.0;4428.0;5629.0;2008.0;36663.0;115.0
116;0.0;47.0;40.0;1075624.0;269824.0;36424.0;12529.0;22594.0;15337.0;6682.0;53540.0;116.0
117;0.0;43.0;27.0;1322987.0;506182.0;16099.0;17628.0;68640.0;13238.0;5939.0;192498.0;117.0
118;0.0;51.0;34.0;1439.0;6020.0;2466.0;2159.0;1477.0;4822.0;2287.0;37177.0;118.0
119;0.0;54.0;24.0;96826.0;83449.0;10582.0;14153.0;14488.0;21361.0;28990.0;176043.0;119.0
120;0.0;57.0;30.0;511245.0;81744.0;16649.0;14281.0;8444.0;7951.0;6301.0;39548.0;120.0
121;0.0;70.0;63.0;4371.0;11250.0;16283.0;31008.0;2761.0;6799.0;2404.0;127055.0;121.0
122;0.0;77.0;61.0;72095.0;10768.0;4160.0;7448.0;7589.0;20213.0;10145.0;104062.0;122.0
123;0.0;69.0;61.0;1239003.0;181602.0;15082.0;37906.0;30206.0;17382.0;25160.0;324070.0;123.0
124;0.0;70.0;54.0;98734.0;18422.0;2662.0;970.0;3119.0;2183.0;589.0;16982.0;124.0
125;0.0;81.0;38.0;48654.0;24107.0;1477.0;15551.0;18960.0;14768.0;7331.0;221083.0;125.0
126;0.0;60.0;37.0;163151.0;57984.0;9930.0;7595.0;2133.0;4593.0;3739.0;9147.0;126.0
127;0.0;64.0;27.0;663593.0;70616.0;1993.0;5991.0;10578.0;10426.0;3835.0;23873.0;127.0
128;0.0;74.0;43.0;238845.0;13945.0;27203.0;3959.0;11926.0;13375.0;4272.0;69458.0;128.0
129;0.0;63.0;37.0;25495.0;54086.0;4195.0;5568.0;6284.0;7542.0;3926.0;99656.0;129.0
130;0.0;74.0;44.0;215107.0;27056.0;26505.0;7027.0;8929.0;11016.0;4974.0;119740.0;130.0
131;0.0;78.0;44.0;2020072.0;289713.0;15270.0;16853.0;48446.0;86825.0;8847.0;75898.0;131.0
132;0.0;64.0;24.0;664603.0;44436.0;2894.0;1972.0;2792.0;3027.0;2326.0;5586.0;132.0
133;51.0;64.0;24.0;911767.0;214330.0;15468.0;62713.0;74781.0;74351.0;10238.0;3563.0;133.0
134;0.0;66.0;43.0;26517.0;7024.0;5667.0;8638.0;3363.0;3222.0;2913.0;49801.0;134.0
135;0.0;64.0;41.0;13857.0;22391.0;4776.0;15498.0;3662.0;5875.0;6330.0;115175.0;135.0
136;0.0;47.0;43.0;226684.0;118443.0;7542.0;7734.0;7603.0;4169.0;6598.0;102011.0;136.0
137;0.0;41.0;53.0;275558.0;190188.0;59052.0;6354.0;16132.0;7252.0;8739.0;90264.0;137.0
138;0.0;54.0;44.0;2726.0;8812.0;5839.0;6149.0;7614.0;14689.0;5495.0;122724.0;138.0
139;0.0;57.0;40.0;11440.0;40808.0;7332.0;10224.0;2396.0;13998.0;6962.0;135844.0;139.0
140;0.0;67.0;44.0;190663.0;105228.0;4181.0;25293.0;13602.0;13581.0;5550.0;133078.0;140.0
141;0.0;67.0;35.0;1690602.0;303721.0;11096.0;20024.0;16266.0;11171.0;6379.0;98178.0;141.0
142;0.0;63.0;38.0;12176.0;6130.0;7914.0;2277.0;7956.0;5892.0;5371.0;108612.0;142.0
143;0.0;61.0;41.0;12842.0;15783.0;1907.0;8106.0;1507.0;5004.0;12721.0;74816.0;143.0
144;0.0;70.0;41.0;9151.0;16374.0;2011.0;4665.0;6503.0;8583.0;5952.0;110052.0;144.0
145;0.0;88.0;60.0;23522.0;6480.0;4746.0;8688.0;4256.0;4939.0;5296.0;124307.0;145.0
146;0.0;88.0;64.0;9764.0;3646.0;1566.0;11466.0;4245.0;5799.0;4468.0;105622.0;146.0
147;0.0;93.0;64.0;25789.0;19627.0;10115.0;10124.0;9178.0;14658.0;2086.0;116760.0;147.0
148;0.0;81.0;75.0;43346.0;18098.0;11306.0;1386.0;1841.0;2918.0;1714.0;22669.0;148.0
149;0.0;87.0;69.0;20767.0;3221.0;6594.0;7435.0;13732.0;7934.0;10567.0;112833.0;149.0
150;0.0;84.0;75.0;13751.0;4693.0;15615.0;17027.0;7195.0;9044.0;1658.0;81399.0;150.0
151;0.0;83.0;74.0;4579.0;12154.0;520.0;9782.0;7947.0;7219.0;5326.0;89049.0;151.0
152;0.0;94.0;74.0;3884.0;13617.0;14099.0;9977.0;18220.0;14181.0;4401.0;116541.0;152.0
153;0.0;90.0;74.0;5467.0;16841.0;12931.0;7769.0;14075.0;9146.0;7449.0;111297.0;153.0
154;0.0;93.0;57.0;8315.0;18649.0;7424.0;4101.0;9686.0;11173.0;9226.0;123033.0;154.0
155;0.0;87.0;61.0;12442.0;25131.0;10574.0;8321.0;4116.0;7351.0;8263.0;123362.0;155.0
156;0.0;75.0;51.0;166161.0;69130.0;6529.0;7819.0;12311.0;7089.0;5170.0;107832.0;156.0
157;0.0;78.0;51.0;56501.0;18100.0;12909.0;8461.0;8176.0;13905.0;7653.0;104073.0;157.0
158;0.0;80.0;51.0;211845.0;18214.0;3501.0;8385.0;12055.0;12652.0;6663.0;143110.0;158.0
159;0.0;78.0;56.0;12874.0;7392.0;6998.0;15319.0;7258.0;4529.0;3525.0;122031.0;159.0
160;0.0;84.0;61.0;9555.0;25496.0;3482.0;9686.0;9320.0;6709.0;5562.0;126999.0;160.0
161;0.0;78.0;66.0;3765.0;9747.0;13153.0;9081.0;7927.0;5035.0;6025.0;110964.0;161.0
162;0.0;75.0;78.0;869.0;9284.0;14102.0;6943.0;3735.0;9438.0;3947.0;126492.0;162.0
